artists_id,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness,duration_ms
[289599],0.396,0.974,0.65,160.05700000000004,-3.708,0.00853,0.0,0.968,0.142,184493
[630882],0.736,0.524,0.889,83.60700000000001,-5.2970000000000015,0.6509999999999999,0.0,0.138,0.165,164093
[628467],0.633,0.922,0.6859999999999999,84.11,-4.842,0.116,0.000465,0.071,0.0454,243533
[3067310],0.588,0.528,0.314,80.02,-12.109000000000002,0.443,0.0,0.258,0.0589,220082
"[951374, 683921]",0.648,0.797,0.726,101.002,-5.5710000000000015,0.0153,0.0,0.0709,0.229,571400
[257787],0.591,0.959,0.86,163.88299999999995,-2.515,0.103,0.0,0.779,0.057,178840
[314600],0.606,0.632,0.5589999999999999,128.22899999999998,-5.746,0.531,0.0,0.149,0.0349,166827
[2577980],0.593,0.6970000000000001,0.428,170.0,-5.416,0.00289,0.0257,0.14,0.0399,230960
[299471],0.275,0.48,0.4970000000000001,78.42399999999998,-11.383,0.0014,0.0174,0.116,0.0295,418200
[988440],0.615,0.376,0.725,76.711,-11.331,0.763,0.0,0.0524,0.0347,194491
[114342],0.7559999999999999,0.474,0.905,93.771,-12.224,0.104,0.0326,0.0797,0.0304,264333
[359199],0.575,0.305,0.3720000000000001,102.495,-9.359,0.7120000000000001,0.00185,0.0819,0.0322,180200
[1059293],0.433,0.895,0.246,149.89600000000004,-5.547999999999999,0.000127,1.7e-05,0.358,0.0587,318093
[803752],0.242,0.092,0.371,100.652,-26.263,0.994,0.907,0.0811,0.0339,173627
[314113],0.35600000000000004,0.132,0.252,99.86,-18.545,0.906,1.28e-06,0.132,0.0552,154507
[3105903],0.6940000000000001,0.7120000000000001,0.799,98.022,-3.923,0.133,0.0,0.211,0.046,201122
[79016],0.743,0.261,0.8140000000000001,88.275,-10.289,0.7929999999999999,8.62e-06,0.149,0.0618,169493
[96613],0.236,0.0661,0.0785,87.1,-18.979,0.914,3.59e-06,0.103,0.0338,303333
[784527],0.534,0.205,0.415,70.221,-14.814,0.6709999999999999,0.0102,0.193,0.0717,188684
[816890],0.904,0.534,0.949,110.84,-9.003,0.675,0.0,0.231,0.065,132971
[686897],0.513,0.573,0.621,132.607,-10.023,0.18600000000000005,0.000958,0.0878,0.0337,124867
[265456],0.519,0.223,0.227,69.85,-12.954,0.7609999999999999,1.14e-05,0.123,0.0433,220693
[184502],0.155,0.124,0.16899999999999998,82.40799999999999,-17.121,0.953,0.0007740000000000001,0.119,0.0372,215533
[816844],0.373,0.742,0.448,150.983,-4.327,0.0087,0.0,0.244,0.0319,246907
[508443],0.583,0.316,0.436,114.36,-19.292,0.425,5.67e-05,0.11,0.0315,233867
[490416],0.568,0.0883,0.24,143.71200000000005,-18.218,0.977,0.897,0.0826,0.0504,352933
[215296],0.498,0.468,0.183,108.128,-7.425,0.536,0.0,0.242,0.0268,223133
[888730],0.4320000000000001,0.208,0.32299999999999995,78.49,-13.755999999999998,0.952,8.36e-06,0.104,0.0352,249627
[3606027],0.728,0.607,0.445,129.938,-8.417,0.133,0.0,0.0864,0.132,176702
[216348],0.387,0.0748,0.458,94.783,-18.691,0.8290000000000001,0.0,0.0823,0.0396,189867
[813392],0.182,0.123,0.238,73.389,-16.237000000000002,0.93,0.0492,0.106,0.0427,186467
[620578],0.203,0.18600000000000005,0.251,178.665,-17.641,0.73,6.54e-05,0.277,0.037000000000000005,146387
[290502],0.476,0.7979999999999999,0.386,102.856,-7.541,0.0669,0.000255,0.114,0.246,239160
[209142],0.23,0.231,0.154,138.183,-19.008,0.8340000000000001,0.0119,0.132,0.0388,327227
[894465],0.634,0.63,0.489,118.628,-8.277000000000001,0.447,0.039,0.17,0.031,270773
[136871],0.6629999999999999,0.552,0.773,131.249,-8.82,0.403,0.0,0.0362,0.0342,251893
[335302],0.155,0.883,0.166,104.558,-9.13,1.21e-06,0.963,0.0654,0.0806,217720
[615119],0.282,0.193,0.172,128.642,-15.807,0.813,0.000367,0.16,0.0326,335480
[5980],0.625,0.472,0.7390000000000001,163.41,-16.407,0.752,0.00298,0.154,0.153,166160
[259529],0.591,0.129,0.478,75.031,-15.649,0.985,0.872,0.127,0.0454,179440
[259529],0.612,0.282,0.565,87.36,-11.781,0.945,0.908,0.0819,0.0443,179667
[119107],0.321,0.228,0.0575,77.439,-18.111,0.995,0.85,0.126,0.0696,89067
[816890],0.8009999999999999,0.513,0.8340000000000001,114.242,-10.401,0.443,0.0028,0.0864,0.041,131493
"[686897, 147082]",0.32,0.221,0.116,80.04,-16.302,0.8170000000000001,0.00013700000000000002,0.0977,0.0328,238173
[762724],0.687,0.557,0.809,121.011,-11.106,0.6709999999999999,0.000468,0.0353,0.0594,176533
[577627],0.574,0.7959999999999999,0.266,129.22899999999998,-8.913,0.203,1.9e-06,0.133,0.0806,295467
[165652],0.441,0.984,0.62,164.71599999999995,-4.374,0.0093,0.000193,0.35200000000000004,0.0816,141933
[152023],0.491,0.971,0.6,107.027,-4.88,0.0169,0.0,0.134,0.0376,222540
"[1028077, 262255]",0.369,0.639,0.345,81.053,-4.839,0.418,0.0,0.141,0.0341,204613
"[691807, 48816]",0.4920000000000001,0.182,0.41,86.728,-17.907,0.902,1.8000000000000001e-06,0.246,0.133,284067
[1002889],0.391,0.408,0.273,69.399,-7.0,0.594,0.0,0.309,0.0317,214080
[202187],0.652,0.184,0.486,172.68400000000003,-16.349,0.00966,0.7240000000000001,0.526,0.168,353640
[414745],0.71,0.6759999999999999,0.91,130.55700000000002,-7.102,0.151,0.00915,0.635,0.0598,139347
[19892],0.614,0.8740000000000001,0.56,98.427,-10.985,0.00153,0.000471,0.0536,0.0419,480729
[175553],0.428,0.326,0.628,162.97899999999996,-13.742,0.601,0.0129,0.105,0.0538,330027
[2841398],0.6409999999999999,0.732,0.35200000000000004,82.027,-5.324,0.0992,0.0,0.285,0.051,236013
[131581],0.36,0.17,0.328,182.284,-15.447,0.937,0.0132,0.112,0.035,197053
[604852],0.4920000000000001,0.835,0.471,138.908,-10.02,0.0006230000000000001,0.134,0.34,0.0315,265667
[803752],0.387,0.322,0.925,120.298,-21.247,0.987,0.909,0.145,0.0466,102133
[481057],0.596,0.93,0.8220000000000001,121.819,-12.126,0.0439,0.0773,0.28800000000000003,0.0393,249173
[170879],0.741,0.845,0.926,129.939,-3.568,0.15,0.0,0.174,0.0381,233613
[597266],0.462,0.513,0.745,136.30200000000002,-13.274,0.518,0.00454,0.691,0.0414,387440
[842351],0.508,0.7909999999999999,0.412,127.632,-11.896,0.00974,0.106,0.048,0.0486,346973
[379125],0.5660000000000001,0.16399999999999998,0.452,108.186,-15.93,0.375,0.0,0.109,0.0456,280854
[393789],0.6409999999999999,0.561,0.512,113.932,-9.09,0.556,0.0,0.0758,0.0273,285560
[423829],0.67,0.181,0.258,117.432,-15.794,0.831,0.0257,0.0806,0.0486,484840
[898275],0.6609999999999999,0.926,0.95,143.73,-8.728,0.0388,0.0,0.0599,0.0335,177893
[79016],0.672,0.154,0.457,87.309,-14.243,0.926,0.0,0.214,0.0349,143560
[772745],0.5820000000000001,0.765,0.528,128.164,-6.544,0.00106,0.0506,0.344,0.0376,200493
[285232],0.7140000000000001,0.862,0.764,95.038,-4.603,0.0609,0.0,0.093,0.0363,205787
[184187],0.526,0.589,0.95,86.63600000000002,-11.109000000000002,0.542,0.894,0.068,0.0377,191293
[18862],0.112,0.208,0.0285,74.31,-22.618,0.949,0.935,0.101,0.0552,354120
[639621],0.45,0.192,0.104,143.547,-14.293,0.83,2.89e-06,0.182,0.0312,312573
[808214],0.769,0.252,0.584,120.33,-14.029000000000002,0.17800000000000002,0.0323,0.05,0.0325,272067
"[945951, 2996996]",0.414,0.857,0.348,128.024,-4.078,0.0287,0.00574,0.343,0.0808,212960
[117844],0.696,0.624,0.871,129.906,-13.001,0.0285,0.000219,0.35600000000000004,0.0292,210240
[340152],0.556,0.823,0.7240000000000001,129.875,-10.711,0.00477,0.0149,0.0583,0.038,290200
[782163],0.532,0.4920000000000001,0.499,91.098,-6.309,0.119,0.0,0.0777,0.273,201800
[125506],0.852,0.6940000000000001,0.789,109.906,-6.765,0.0121,0.0,0.126,0.0653,249040
[119107],0.409,0.0224,0.0655,126.458,-18.234,0.993,0.908,0.13,0.0441,318267
[366164],0.443,0.422,0.471,105.686,-9.364,0.633,0.000402,0.0617,0.0919,315653
[170330],0.252,0.33,0.14400000000000002,95.591,-12.144,0.901,0.8370000000000001,0.13,0.0325,213551
[135273],0.698,0.7020000000000001,0.738,122.115,-8.914,0.322,0.00866,0.0617,0.0588,186267
[137430],0.708,0.628,0.7759999999999999,113.412,-11.354,0.00486,0.0,0.0565,0.0393,230493
[330575],0.647,0.935,0.961,80.23899999999998,-4.477,0.52,0.0,0.0956,0.0409,154040
[20729],0.7170000000000001,0.373,0.5379999999999999,138.513,-7.185,0.735,0.0,0.303,0.061,146400
"[634674, 172350]",0.619,0.34,0.6990000000000001,141.561,-13.487,0.893,0.96,0.1,0.0408,197533
[128440],0.563,0.8690000000000001,0.716,140.58700000000002,-8.163,0.0235,1.14e-05,0.2,0.052000000000000005,284187
[1482685],0.7390000000000001,0.731,0.964,136.545,-12.685,0.219,7.7e-05,0.0801,0.0535,369547
[132940],0.507,0.294,0.845,138.351,-14.474,0.963,0.131,0.171,0.0572,235333
[633078],0.529,0.816,0.825,149.769,-7.075,0.276,0.0602,0.192,0.0385,309720
[798662],0.174,0.233,0.0321,93.949,-11.486,0.241,0.688,0.083,0.0344,165907
[873886],0.5670000000000001,0.379,0.731,122.964,-12.956,0.967,0.9,0.35600000000000004,0.0373,183760
[75308],0.564,0.86,0.585,122.156,-6.59,0.0617,0.0,0.0643,0.0497,246053
[813392],0.627,0.114,0.335,128.687,-14.308,0.875,0.0,0.141,0.0355,184160
[101701],0.253,0.996,0.0358,156.391,-7.035,0.0217,0.899,0.342,0.161,87867
[840000],0.207,0.304,0.0843,97.123,-19.516,0.42,0.364,0.35200000000000004,0.033,346693
[315339],0.341,0.931,0.17600000000000002,114.185,-4.9289999999999985,0.0128,6.02e-06,0.128,0.0603,388440
[26350],0.188,0.0515,0.0739,77.969,-22.475,0.96,0.8420000000000001,0.121,0.0375,270773
[894465],0.302,0.275,0.293,182.368,-12.281,0.536,0.00959,0.118,0.0306,237000
[632233],0.624,0.885,0.892,94.991,-5.084,0.0076,0.000954,0.128,0.0261,204080
[221844],0.546,0.748,0.83,94.93,-7.262,0.0319,9.76e-05,0.207,0.0411,406733
[619536],0.7240000000000001,0.675,0.534,125.002,-5.943,0.0581,0.0,0.35700000000000004,0.134,106293
[352992],0.503,0.343,0.442,173.797,-17.259,0.6970000000000001,0.0,0.151,0.139,180160
[9680],0.274,0.17800000000000002,0.126,75.398,-11.946,0.836,0.92,0.109,0.0294,195200
[3117973],0.526,0.377,0.313,143.984,-9.762,0.563,0.0,0.0799,0.0253,164000
[492521],0.541,0.6859999999999999,0.6890000000000001,75.339,-7.5779999999999985,0.675,0.0,0.183,0.0445,136542
[311074],0.463,0.33,0.185,78.175,-10.986,0.541,0.000437,0.0842,0.0275,141640
[7031],0.44,0.368,0.732,168.75400000000005,-11.454,0.8079999999999999,3.86e-05,0.111,0.0311,190467
[607773],0.841,0.5,0.7979999999999999,103.775,-13.889,0.066,0.00156,0.126,0.0422,245093
"[667669, 2113374]",0.518,0.527,0.213,96.995,-7.684,0.0569,0.00263,0.107,0.0687,262240
[1535255],0.435,0.476,0.264,90.346,-11.588,0.74,0.273,0.359,0.0358,202120
[491802],0.422,0.711,0.884,157.995,-11.435,5.41e-05,0.00565,0.257,0.0352,263560
[30925],0.58,0.54,0.883,140.077,-12.703,0.7140000000000001,0.0,0.362,0.0623,136667
[170369],0.384,0.575,0.775,196.495,-11.808,0.0818,0.00387,0.161,0.0635,207973
[894465],0.447,0.782,0.488,108.948,-7.744,0.664,0.00958,0.3720000000000001,0.0355,251427
[369389],0.596,0.262,0.489,75.904,-12.613,0.932,0.0,0.311,0.0466,150600
[607283],0.8220000000000001,0.72,0.971,112.698,-4.839,0.826,0.00257,0.064,0.0334,170274
[780451],0.478,0.267,0.339,97.48,-11.277,0.795,1.79e-06,0.201,0.0254,169400
[197424],0.513,0.462,0.366,98.47,-4.473,0.7709999999999999,1.23e-06,0.22,0.0264,175360
[858710],0.6459999999999999,0.402,0.943,149.719,-8.657,0.6970000000000001,0.0,0.0578,0.0313,119973
[38936],0.532,0.5529999999999999,0.649,84.581,-11.609000000000002,0.428,1.3e-06,0.28300000000000003,0.0485,142293
[204901],0.579,0.17,0.469,123.818,-9.909,0.912,0.0,0.632,0.0488,169933
[85038],0.634,0.419,0.562,118.838,-10.386,0.499,0.004379999999999999,0.124,0.028,212487
[2264745],0.725,0.7959999999999999,0.517,101.976,-3.684,0.0154,0.0,0.354,0.0326,197600
[41874],0.496,0.436,0.721,117.018,-12.0,0.5820000000000001,8.49e-05,0.615,0.0362,143707
[1535255],0.514,0.329,0.534,93.438,-20.832,0.8190000000000001,0.934,0.332,0.0347,143293
[758920],0.809,0.3670000000000001,0.601,79.32,-11.838,0.622,0.0125,0.465,0.0876,195560
[531986],0.429,0.588,0.787,79.007,-11.621,0.0461,1.4800000000000002e-05,0.207,0.0338,216667
[174822],0.5660000000000001,0.292,0.629,76.14699999999998,-16.37,0.77,0.0,0.0698,0.0961,148867
[2495841],0.642,0.52,0.488,136.014,-7.886,0.118,0.000512,0.552,0.0387,196055
[490416],0.579,0.0733,0.117,124.308,-20.17,0.97,0.901,0.105,0.0576,388507
[784814],0.342,0.237,0.0425,168.759,-14.972,0.157,0.00013700000000000002,0.102,0.0284,161533
[139026],0.366,0.56,0.361,155.42,-10.361,0.647,0.00703,0.18,0.0633,388467
[354189],0.772,0.45,0.768,104.782,-9.349,0.807,0.0,0.281,0.0352,139093
"[37658, 179698]",0.74,0.324,0.319,128.02200000000002,-18.033,0.8740000000000001,0.892,0.0713,0.0449,279240
[813392],0.5489999999999999,0.282,0.4370000000000001,74.975,-11.395,0.895,1.52e-06,0.271,0.0276,160333
"[206241, 585249, 575695]",0.746,0.928,0.8270000000000001,125.507,-3.881,0.0302,0.000244,0.104,0.0433,319480
[2732005],0.688,0.723,0.618,140.023,-6.682,0.0416,0.0002,0.302,0.121,209187
[808626],0.534,0.476,0.52,91.058,-11.383,0.735,0.0,0.866,0.141,309400
[131681],0.14400000000000002,0.317,0.197,82.314,-11.504,0.46,0.0189,0.336,0.0317,186067
[4852],0.597,0.511,0.888,182.079,-9.997,0.134,0.0007030000000000001,0.285,0.0303,186373
[128440],0.491,0.892,0.213,130.805,-8.616,0.00351,4e-06,0.327,0.25,390867
[332141],0.642,0.455,0.6859999999999999,120.557,-12.002,0.358,0.0,0.368,0.0333,175360
[182900],0.326,0.495,0.345,102.074,-13.597,0.214,0.0184,0.696,0.0576,213427
[422405],0.308,0.979,0.281,171.669,-6.278,0.0188,2.94e-06,0.741,0.128,145827
[39656],0.523,0.684,0.852,89.20299999999997,-10.382,0.6409999999999999,0.00281,0.471,0.154,543813
[26350],0.5489999999999999,0.0765,0.23,116.187,-25.215,0.99,0.0,0.294,0.242,119093
[792852],0.5720000000000001,0.8590000000000001,0.106,110.034,-6.785,2.94e-05,0.253,0.201,0.0352,253293
[803009],0.59,0.603,0.534,120.017,-9.426,0.41,0.000388,0.0761,0.0295,263400
[510805],0.713,0.745,0.537,117.486,-6.204,0.0913,5.52e-06,0.0893,0.0272,237160
[751019],0.546,0.67,0.601,112.409,-7.0920000000000005,0.113,0.0,0.36,0.0283,148347
[2031918],0.482,0.362,0.174,76.87899999999998,-10.358,0.19,0.00562,0.0913,0.0299,198933
[368367],0.355,0.162,0.159,115.706,-14.771,0.873,0.00048,0.141,0.0377,162187
[686897],0.7120000000000001,0.535,0.527,128.16899999999998,-8.072000000000001,0.0216,0.000174,0.0702,0.0295,220800
[285232],0.532,0.73,0.5579999999999999,79.98899999999998,-5.671,0.0464,0.0,0.0323,0.0414,251693
[608166],0.391,0.13699999999999998,0.177,95.776,-16.185,0.968,1.26e-06,0.304,0.0472,177040
[87985],0.38,0.706,0.61,140.641,-6.84,0.246,1.7e-06,0.106,0.0475,182507
[923033],0.26,0.329,0.161,152.72299999999996,-12.539,0.391,0.0,0.117,0.0375,263467
[79016],0.649,0.0909,0.37,108.512,-12.938,0.992,0.0043100000000000005,0.121,0.0441,173160
[204708],0.75,0.545,0.8640000000000001,127.117,-14.331,0.0133,0.000701,0.0702,0.0392,198240
[494474],0.8370000000000001,0.477,0.637,117.835,-15.283,0.0123,0.000332,0.218,0.0548,227933
[239921],0.73,0.7120000000000001,0.969,129.589,-6.7010000000000005,0.147,0.00395,0.4320000000000001,0.0302,265667
[335747],0.5589999999999999,0.927,0.946,170.08700000000005,-5.435,0.0518,0.00278,0.332,0.0506,201427
[378624],0.624,0.58,0.713,101.341,-11.413,0.76,0.025,0.341,0.0396,197772
"[74005, 286483]",0.305,0.0208,0.0795,82.955,-28.031,0.994,0.961,0.0884,0.0431,290000
[81493],0.393,0.964,0.35200000000000004,151.898,-8.838,0.000735,0.0196,0.34,0.14400000000000002,239280
[26350],0.435,0.21,0.193,139.377,-13.046,0.985,0.35200000000000004,0.489,0.0471,179493
[665908],0.6629999999999999,0.72,0.608,135.342,-5.497000000000001,0.00212,0.0,0.358,0.0331,183493
[158309],0.518,0.396,0.189,117.468,-13.786,0.5529999999999999,1.63e-05,0.08,0.0382,237640
[36106],0.604,0.547,0.773,136.164,-8.663,0.606,0.000157,0.0879,0.0298,130094
[43714],0.334,0.24,0.37,94.254,-14.5,0.662,8.35e-05,0.634,0.0327,225667
[446509],0.47,0.99,0.353,117.054,-3.523,0.000171,0.00414,0.12,0.0584,183733
[822874],0.537,0.454,0.378,125.619,-10.632,0.5660000000000001,0.0,0.583,0.0315,250200
[128440],0.5539999999999999,0.888,0.82,126.701,-6.664,0.107,0.0,0.29100000000000004,0.087,267427
[255733],0.498,0.237,0.514,117.919,-16.459,0.8540000000000001,0.0,0.107,0.0435,150367
[391586],0.72,0.6679999999999999,0.768,123.007,-7.928,0.0652,0.006640000000000001,0.0789,0.0269,280027
[858710],0.593,0.115,0.4320000000000001,112.042,-16.098,0.921,3.07e-05,0.125,0.0356,151547
[820115],0.472,0.7829999999999999,0.18600000000000005,116.622,-12.536,0.0006129999999999999,0.048,0.136,0.11,381640
[341672],0.5670000000000001,0.779,0.284,130.945,-4.538,0.00881,0.0,0.911,0.0443,234507
[664883],0.611,0.184,0.57,98.38,-11.388,0.677,0.0,0.0909,0.0985,143560
[182900],0.429,0.271,0.482,178.329,-16.012999999999998,0.865,0.0435,0.3720000000000001,0.0283,200162
[186734],0.547,0.344,0.463,147.849,-11.435,0.403,0.0018,0.193,0.0461,264893
[159699],0.557,0.5720000000000001,0.5670000000000001,146.762,-9.771,0.106,4.6e-05,0.192,0.0353,197600
[84209],0.728,0.919,0.733,132.636,-6.285,0.727,0.0398,0.468,0.141,198493
[316834],0.551,0.741,0.835,135.168,-8.145,0.613,0.000324,0.112,0.0304,255560
[531986],0.643,0.845,0.616,125.349,-9.415,0.0579,0.889,0.0747,0.067,175387
[858827],0.426,0.341,0.252,71.653,-11.883,0.0653,1.2e-05,0.136,0.0474,354600
"[119111, 352164]",0.648,0.481,0.7440000000000001,88.43799999999997,-10.219,0.872,0.871,0.103,0.0431,175227
[492521],0.528,0.528,0.974,142.745,-10.412,0.35600000000000004,0.0,0.114,0.0329,131318
[72041],0.504,0.906,0.579,133.659,-5.376,0.0325,9.57e-06,0.27,0.0413,279573
[35864],0.581,0.848,0.764,134.741,-11.076,0.0024,1.21e-06,0.847,0.054000000000000006,223133
[852855],0.84,0.466,0.6559999999999999,126.796,-10.315,0.349,0.154,0.0902,0.0463,206107
[290502],0.631,0.6809999999999999,0.221,101.377,-5.692,0.268,0.000315,0.12,0.0291,273440
[351733],0.711,0.476,0.919,107.036,-16.143,0.113,0.141,0.14300000000000002,0.0337,348400
[55304],0.419,0.433,0.161,88.12200000000001,-10.168,0.8109999999999999,0.000193,0.165,0.0284,172547
